"Fecha","Total de casos","Entidad"
"2021-06-04",305,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-06-03",182,"PUEBLA"
"2021-05-05",284,"CHIHUAHUA"
"2021-04-29",5828,"CIUDAD DE MÉXICO"
"2021-06-29",307,"COAHUILA DE ZARAGOZA"
"2021-05-22",267,"JALISCO"
"2021-04-23",534,"MICHOACÁN DE OCAMPO"
"2021-06-01",540,"QUINTANA ROO"
"2021-04-01",1012,"MORELOS"
"2021-06-29",210,"QUERÉTARO"
"2021-06-29",185,"PUEBLA"
"2021-06-29",516,"SINALOA"
"2021-06-07",5680,"CIUDAD DE MÉXICO"
"2021-05-20",748,"MÉXICO"
"2021-05-22",3544,"CIUDAD DE MÉXICO"
"2021-06-28",247,"CHIAPAS"
"2021-03-14",4493,"CIUDAD DE MÉXICO"
"2021-06-15",131,"QUERÉTARO"
"2021-04-24",295,"MICHOACÁN DE OCAMPO"
"2021-03-11",716,"MÉXICO"
"2021-03-21",711,"MÉXICO"
"2021-06-01",143,"MORELOS"
"2021-05-19",145,"QUERÉTARO"
"2021-06-30",245,"BAJA CALIFORNIA"
"2021-03-26",834,"MÉXICO"
"2021-06-09",769,"MÉXICO"
"2021-06-03",262,"COAHUILA DE ZARAGOZA"
"2021-07-01",795,"MICHOACÁN DE OCAMPO"
"2021-03-27",198,"TAMAULIPAS"
"2021-05-25",557,"MICHOACÁN DE OCAMPO"
"2021-07-02",422,"GUANAJUATO"
"2021-05-28",241,"COAHUILA DE ZARAGOZA"
"2021-05-27",386,"SAN LUIS POTOSÍ"
"2021-07-03",754,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-06-01",1202,"TABASCO"
"2021-07-04",1077,"TABASCO"
"2021-08-03",1751,"SAN LUIS POTOSÍ"
"2021-08-05",1646,"MICHOACÁN DE OCAMPO"
"2021-07-07",14073,"CIUDAD DE MÉXICO"
"2021-08-01",619,"MORELOS"
"2021-08-01",2204,"TABASCO"
"2021-08-04",2714,"MÉXICO"
"2021-08-06",1004,"TAMAULIPAS"
"2021-08-03",460,"CHIAPAS"
"2021-07-13",15765,"CIUDAD DE MÉXICO"
"2021-07-29",671,"MICHOACÁN DE OCAMPO"
"2021-08-02",1022,"SINALOA"
"2021-08-02",876,"QUERÉTARO"
"2021-08-02",1146,"PUEBLA"
"2021-07-31",264,"MORELOS"
"2021-08-02",1198,"COAHUILA DE ZARAGOZA"
"2021-07-18",10840,"CIUDAD DE MÉXICO"
"2021-07-31",753,"QUINTANA ROO"
"2021-08-06",398,"ZACATECAS"
"2021-07-31",336,"CHIHUAHUA"
"2021-08-04",484,"YUCATÁN"
"2021-07-21",1045,"SAN LUIS POTOSÍ"
"2021-08-09",2194,"MICHOACÁN DE OCAMPO"
"2021-07-24",484,"MICHOACÁN DE OCAMPO"
"2021-08-01",324,"TLAXCALA"
"2021-07-19",863,"SONORA"
"2021-07-22",1113,"SAN LUIS POTOSÍ"
"2021-08-01",736,"QUINTANA ROO"
"2021-08-01",477,"CHIHUAHUA"
"2021-07-21",414,"CHIAPAS"
"2021-07-27",506,"BAJA CALIFORNIA SUR"
"2021-07-12",989,"GUANAJUATO"
"2021-07-10",1043,"GUANAJUATO"
"2021-07-31",177,"TLAXCALA"
"2021-07-25",998,"OAXACA"
"2021-07-05",933,"GUANAJUATO"
"2021-07-14",465,"OAXACA"
"2021-07-13",1318,"JALISCO"
"2021-07-15",579,"TAMAULIPAS"
"2021-08-10",406,"BAJA CALIFORNIA SUR"
"2021-07-18",1789,"JALISCO"
"2021-07-25",397,"CAMPECHE"
"2021-07-14",391,"NAYARIT"
"2021-08-11",685,"HIDALGO"
"2021-07-22",344,"DURANGO"
"2021-07-17",1101,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-07-22",367,"CHIAPAS"
"2021-08-11",373,"ZACATECAS"
"2021-09-12",357,"QUERÉTARO"
"2021-09-12",559,"PUEBLA"
"2021-09-14",9114,"CIUDAD DE MÉXICO"
"2021-09-13",355,"OAXACA"
"2021-09-11",201,"CHIHUAHUA"
"2021-09-08",805,"TAMAULIPAS"
"2021-08-12",16986,"CIUDAD DE MÉXICO"
"2021-09-11",1067,"TABASCO"
"2021-09-05",482,"QUERÉTARO"
"2021-09-03",255,"CAMPECHE"
"2021-09-13",146,"CAMPECHE"
"2021-09-11",343,"MORELOS"
"2021-09-10",659,"SONORA"
"2021-09-05",763,"PUEBLA"
"2021-09-05",437,"SINALOA"
"2021-09-11",288,"QUINTANA ROO"
"2021-09-14",290,"BAJA CALIFORNIA"
"2021-09-12",336,"SINALOA"
"2021-09-15",841,"NUEVO LEÓN"
"2021-09-08",281,"HIDALGO"
"2021-09-11",126,"TLAXCALA"
"2021-09-15",348,"COLIMA"
"2021-09-16",489,"TAMAULIPAS"
"2021-09-03",450,"OAXACA"
"2021-09-13",258,"NAYARIT"
"2021-09-08",173,"ZACATECAS"
"2021-09-15",227,"AGUASCALIENTES"
"2021-09-03",261,"NAYARIT"
"2021-08-16",1241,"PUEBLA"
"2021-08-14",259,"CHIHUAHUA"
"2021-09-02",519,"SONORA"
"2021-08-30",315,"CHIHUAHUA"
"2021-09-16",118,"ZACATECAS"
"2021-08-15",2784,"NUEVO LEÓN"
"2021-09-17",731,"MICHOACÁN DE OCAMPO"
"2021-04-22",786,"MÉXICO"
"2021-09-16",260,"HIDALGO"
"2021-04-19",1032,"MÉXICO"
"2021-08-20",1926,"MÉXICO"
"2021-08-30",2310,"TABASCO"
"2021-08-29",1331,"GUANAJUATO"
"2021-08-16",669,"SINALOA"
"2021-08-14",433,"MORELOS"
"2021-08-31",1010,"SAN LUIS POTOSÍ"
"2021-08-24",1936,"NUEVO LEÓN"
"2021-08-28",818,"SONORA"
"2021-08-20",711,"YUCATÁN"
"2021-09-04",260,"BAJA CALIFORNIA SUR"
"2021-03-20",413,"CHIHUAHUA"
"2021-09-18",7071,"CIUDAD DE MÉXICO"
"2021-08-21",301,"CAMPECHE"
"2021-08-21",507,"OAXACA"
"2021-09-18",524,"BAJA CALIFORNIA"
"2021-08-12",1818,"JALISCO"
"2021-09-19",192,"GUERRERO"
"2021-08-15",369,"AGUASCALIENTES"
"2021-10-20",190,"OAXACA"
"2021-09-21",116,"CAMPECHE"
"2021-09-21",232,"NAYARIT"
"2021-05-16",299,"JALISCO"
"2020-06-20",3269,"CIUDAD DE MÉXICO"
"2020-06-22",192,"DURANGO"
"2020-06-20",437,"BAJA CALIFORNIA"
"2020-06-21",248,"YUCATÁN"
"2020-06-11",597,"NUEVO LEÓN"
"2020-06-20",574,"JALISCO"
"2020-06-17",2038,"CIUDAD DE MÉXICO"
"2020-06-17",486,"JALISCO"
"2020-06-13",384,"SONORA"
"2020-06-22",334,"SAN LUIS POTOSÍ"
"2020-06-18",280,"BAJA CALIFORNIA"
"2020-06-18",474,"JALISCO"
"2020-06-10",411,"SINALOA"
"2020-06-15",223,"GUERRERO"
"2020-06-14",323,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-06-09",399,"TABASCO"
"2020-05-10",2507,"CIUDAD DE MÉXICO"
"2020-05-07",970,"MÉXICO"
"2020-06-10",824,"PUEBLA"
"2020-06-23",192,"OAXACA"
"2020-06-10",414,"COAHUILA DE ZARAGOZA"
"2020-06-22",927,"CHIAPAS"
"2020-06-23",179,"CAMPECHE"
"2020-03-29",26,"CHIAPAS"
"2020-06-09",106,"CHIHUAHUA"
"2020-06-12",567,"PUEBLA"
"2020-06-23",106,"NAYARIT"
"2020-06-07",279,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-06-02",265,"CHIAPAS"
"2020-06-09",92,"MORELOS"
"2020-04-14",90,"CHIHUAHUA"
"2020-04-21",1178,"CIUDAD DE MÉXICO"
"2020-06-10",76,"QUERÉTARO"
"2020-05-23",334,"PUEBLA"
"2020-06-03",363,"TAMAULIPAS"
"2020-06-06",514,"GUANAJUATO"
"2020-06-26",392,"GUERRERO"
"2020-06-11",75,"AGUASCALIENTES"
"2020-05-28",389,"TABASCO"
"2020-06-27",1621,"CIUDAD DE MÉXICO"
"2020-06-27",386,"JALISCO"
"2020-06-28",519,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-06-29",699,"TAMAULIPAS"
"2020-06-29",111,"HIDALGO"
"2020-05-09",161,"PUEBLA"
"2020-06-30",309,"GUERRERO"
"2020-04-10",76,"PUEBLA"
"2020-03-27",20,"CHIAPAS"
"2020-03-21",20,"CHIAPAS"
"2020-05-26",244,"COAHUILA DE ZARAGOZA"
"2020-05-05",153,"PUEBLA"
"2020-05-26",296,"PUEBLA"
"2020-06-04",539,"NUEVO LEÓN"
"2020-04-24",56,"CHIAPAS"
"2020-07-01",98,"ZACATECAS"
"2020-07-02",715,"NUEVO LEÓN"
"2020-07-02",124,"AGUASCALIENTES"
"2020-02-28",3,"CHIAPAS"
"2020-06-01",597,"SONORA"
"2020-05-17",269,"PUEBLA"
"2020-10-08",3466,"CIUDAD DE MÉXICO"
"2020-10-06",450,"MÉXICO"
"2020-10-08",495,"JALISCO"
"2020-10-01",270,"QUERÉTARO"
"2020-10-05",755,"CHIHUAHUA"
"2020-10-01",288,"SINALOA"
"2020-10-03",485,"JALISCO"
"2020-10-01",590,"COAHUILA DE ZARAGOZA"
"2020-10-01",541,"PUEBLA"
